"Andorra";"Andorra la Vella";"AND";"Europe";"http://maps.googleapis.com/maps/api/staticmap?center=ANDORRA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"United Arab Emirates";"Abu Dhabi";"ARE";"Asia";"http://maps.googleapis.com/maps/api/staticmap?center=UNITED ARAB EMIRATES&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Afghanistan";"Kabul";"AFG";"Asia";"http://maps.googleapis.com/maps/api/staticmap?center=AFGHANISTAN&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Antigua and Barbuda";"St. John's";"ATG";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=ANTIGUA AND BARBUDA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Anguilla";"The Valley";"AIA";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=ANGUILLA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Albania";"Tirana";"ALB";"Europe";"http://maps.googleapis.com/maps/api/staticmap?center=ALBANIA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Armenia";"Yerevan";"ARM";"Asia";"http://maps.googleapis.com/maps/api/staticmap?center=ARMENIA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Angola";"Luanda";"AGO";"Africa";"http://maps.googleapis.com/maps/api/staticmap?center=ANGOLA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Antarctica";"No data";"ATA";"Antarctica";"http://maps.googleapis.com/maps/api/staticmap?center=ANTARCTICA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Argentina";"Buenos Aires";"ARG";"South America";"http://maps.googleapis.com/maps/api/staticmap?center=ARGENTINA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"American Samoa";"Pago Pago";"ASM";"Oceania";"http://maps.googleapis.com/maps/api/staticmap?center=AMERICAN SAMOA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Austria";"Vienna";"AUT";"Europe";"http://maps.googleapis.com/maps/api/staticmap?center=AUSTRIA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Australia";"Canberra";"AUS";"Oceania";"http://maps.googleapis.com/maps/api/staticmap?center=AUSTRALIA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Aruba";"Oranjestad";"ABW";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=ARUBA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Ã?land Islands";"Mariehamn";"ALA";"Europe";"http://maps.googleapis.com/maps/api/staticmap?center=Ã?LAND ISLANDS&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Azerbaijan";"Baku";"AZE";"Asia";"http://maps.googleapis.com/maps/api/staticmap?center=AZERBAIJAN&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Bosnia and Herzegovina";"Sarajevo";"BIH";"Europe";"http://maps.googleapis.com/maps/api/staticmap?center=BOSNIA AND HERZEGOVINA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Barbados";"Bridgetown";"BRB";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=BARBADOS&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
