"AFG";"38.48";"74.88";"29.38";"60.48"
"AGO";"-4.37";"24.08";"-18.04";"11.67"
"ALB";"42.65";"21.06";"39.65";"19.26"
"ARE";"26.28";"56.38";"22.62";"51.53"
"ARG";"-21.78";"-53.59";"-55.05";"-73.58"
"ARM";"41.3";"46.63";"38.84";"43.46"
"ATG";"17.73";"-61.67";"17";"-61.91"
"AUS";"-9.23";"159.11";"-54.76";"112.91"
"AUT";"49.02";"17.16";"46.38";"9.54"
"AZE";"41.91";"50.61";"38.4";"44.77"
"BDI";"-2.31";"30.85";"-4.47";"28.99"
"BEL";"51.5";"6.41";"49.5";"2.54"
"BEN";"12.42";"3.85";"6.23";"0.77"
"BFA";"15.08";"2.4";"9.41";"-5.52"
"BGD";"26.63";"92.67";"20.59";"88.03"
"BGR";"44.21";"28.61";"41.24";"22.37"
"BHR";"26.29";"50.82";"25.55";"50.38"
"BHS";"27.03";"-72.73";"20.91";"-79.31"
"BIH";"45.28";"19.62";"42.55";"15.74"
"BLR";"56.16";"32.77";"51.26";"23.17"
"BLZ";"18.49";"-87.48";"15.89";"-89.22"
"BOL";"-9.68";"-57.46";"-22.9";"-69.64"
"BRA";"5.26";"-29.3";"-33.74";"-73.99"
"BRB";"13.34";"-59.42";"13.05";"-59.65"
"BTN";"28.33";"92.13";"26.71";"88.77"
"BWA";"-17.78";"29.36";"-26.9";"20"
"CAF";"11.01";"27.46";"2.22";"14.42"
"CAN";"83.21";"-52.62";"41.71";"-141"
"CHE";"47.8";"10.49";"45.82";"5.97"
"CHL";"-17.51";"-66.42";"-55.98";"-109.46"
"CHN";"53.56";"134.78";"18.16";"73.56"
"CIV";"10.74";"-2.49";"4.36";"-8.6"
"CMR";"13.07";"16.19";"1.65";"8.49"
"COD";"5.39";"31.31";"-13.46";"12.2"
"COG";"3.7";"18.65";"-5.03";"11.21"
"COK";"-8.96";"-157.32";"-21.95";"-165.83"
"COL";"13.39";"-66.87";"-4.23";"-81.73"
"COM";"-11.36";"44.54";"-12.42";"43.22"
"CPV";"17.21";"-22.67";"14.8";"-25.37"
"CRI";"11.21";"-82.56";"5.5";"-87.1"
"CUB";"23.28";"-74.14";"19.83";"-84.95"
"CYP";"35.69";"34.59";"34.63";"32.27"
"CZE";"51.03";"18.86";"48.56";"12.1"
"DEU";"55.05";"15.03";"47.27";"5.87"
"DJI";"12.71";"43.42";"10.91";"41.78"
"DMA";"15.64";"-61.25";"15.21";"-61.49"
"DNK";"57.74";"15.16";"54.56";"8.07"
"DOM";"19.93";"-68.33";"17.54";"-72.01"
"DZA";"37.09";"21.56";"18.96";"-8.67"
"ECU";"1.66";"-75.22";"-5.01";"-92.01"
"EGY";"31.67";"36.9";"21.72";"24.7"
"ERI";"18.02";"43.12";"12.36";"36.44"
"ESP";"43.79";"4.33";"27.64";"-18.17"
"EST";"59.68";"28.21";"57.51";"21.81"
"ETH";"14.9";"47.98";"3.41";"32.99"
"FIN";"70.09";"31.58";"59.8";"19.47"
"FJI";"-12.46";"180";"-20.67";"-180"
"FRA";"51.09";"9.56";"41.36";"-5.14"
