"AFG";"004";"AFG";"2";"15362";"1";"163";"Afghanistan"
"AGO";"024";"ANG";"7";"15364";"8";"417";"Angola"
"ALB";"008";"ALB";"3";"14640";"3";"241";"Albania"
"AND";"020";"AND";"6";"19012";"7";"403";"Andorra"
"ARE";"784";"UAE";"225";"15503";"255";"8067";"United_Arab_Emirates"
"ARG";"032";"ARG";"9";"15366";"12";"603";"Argentina"
"ARM";"051";"ARM";"1";"20521";"13";"8926";"Armenia"
"ATG";"028";"ANT";"8";"15365";"11";"505";"Antigua_and_Barbuda"
"AUS";"036";"AUL";"10";"15367";"17";"714";"Australia"
"AUT";"040";"AUS";"11";"15368";"18";"718";"Austria"
"AZE";"031";"AZE";"52";"20522";"19";"9026";"Azerbaijan"
"BDI";"108";"BDI";"29";"15382";"43";"1159";"Burundi"
"BEL";"056";"BEL";"255";"15373";"27";"870";"Belgium"
"BEN";"204";"BEN";"53";"15375";"29";"875";"Benin"
"BFA";"854";"BKF";"233";"15381";"42";"8081";"Burkina_Faso"
"BGD";"050";"BGD";"16";"15371";"23";"810";"Bangladesh"
"BGR";"100";"BUL";"27";"15380";"41";"1145";"Bulgaria"
"BHR";"048";"BAH";"13";"15370";"21";"780";"Bahrain"
"BHS";"044";"BHA";"12";"15369";"20";"778";"Bahamas_The"
"BIH";"070";"BIH";"80";"25401";"34";"33958";"Bosnia_and_Herzegovina"
"BLR";"112";"BYE";"57";"16382";"26";"33237";"Belarus"
"BLZ";"084";"BZE";"23";"15374";"28";"871";"Belize"
"BOL";"068";"BOL";"19";"15377";"33";"331403";"Bolivia"
"BRA";"076";"BRA";"21";"52486";"37";"1070";"Brazil"
"BRB";"052";"BAR";"14";"15372";"24";"814";"Barbados"
"BTN";"064";"BHU";"18";"15376";"31";"897";"Bhutan"
"BWA";"072";"BOT";"20";"15378";"35";"1030";"Botswana"
"CAF";"140";"CAF";"37";"15387";"49";"1433";"Central_African_Republic"
"CAN";"124";"CAN";"33";"15385";"46";"1236";"Canada"
"CHE";"756";"SWI";"211";"15494";"237";"7558";"Switzerland"
"CHL";"152";"CHI";"40";"15389";"51";"1548";"Chile"
"CHN";"156";"CPR";"351";"15390";"53";"1556";"China"
"CIV";"384";"IVC";"107";"15396";"66";"4027";"Cote_dIvoire"
"CMR";"120";"CMR";"32";"15384";"45";"1229";"Cameroon"
"COD";"180";"ZAI";"250";"15513";"68";"8500";"Congo_Democratic_Republic_of_the"
"COG";"178";"PRC";"46";"15393";"59";"1811";"Congo_Republic_of_the"
"COK";"184";"CKI";"47";"15394";"60";"1850";"Cook_Islands"
"COL";"170";"COL";"44";"15391";"57";"1767";"Colombia"
"COM";"174";"COI";"45";"15392";"58";"1790";"Comoros"
"CPV";"132";"CVI";"35";"15386";"47";"1267";"Cape_Verde"
"CRI";"188";"COS";"48";"15395";"61";"1920";"Costa_Rica"
"CUB";"192";"CUB";"49";"15397";"63";"1997";"Cuba"
"CYP";"196";"CYP";"50";"15398";"64";"2080";"Cyprus"
"CZE";"203";"CEH";"167";"32174";"65";"33095";"Czech_Republic"
"DEU";"276";"GER";"79";"15414";"93";"3245";"Germany"
"DJI";"262";"DJI";"72";"15401";"70";"2346";"Djibouti"
"DMA";"212";"DMI";"55";"15402";"71";"2363";"Dominica"
"DNK";"208";"DEN";"54";"15400";"69";"2185";"Denmark"
"DOM";"214";"DOM";"56";"15403";"72";"2364";"Dominica"
"DZA";"012";"ALG";"4";"15363";"4";"259";"Algeria"
"ECU";"218";"ECU";"58";"15404";"73";"2485";"Ecuador"
"EGY";"818";"EGY";"59";"15405";"40765";"2503";"Egypt"
"ERI";"232";"ERI";"178";"2810";"77";"34927";"Eritrea"
"ESP";"724";"SPA";"203";"15488";"229";"7273";"Spain"
"EST";"233";"EST";"63";"15533";"78";"10672";"Estonia"
"ETH";"231";"ETH";"238";"15408";"79";"2676";"Ethiopia"
"FIN";"246";"FIN";"67";"15410";"84";"2905";"Finland"
"FJI";"242";"FIJ";"66";"15409";"83";"2895";"Fiji"
"FRA";"250";"FRA";"68";"15411";"85";"3081";"France"
"FSM";"583";"MIC";"145";"15518";"163";"4805";"Micronesia_Federated_States_of"
"GAB";"266";"GAB";"74";"15412";"89";"3161";"Gabon"
"GBR";"826";"UKM";"229";"15504";"256";"8068";"United_Kingdom"
