"Myanmar";"MMR";"AFG"
"Pakistan";"PAK";"AFG"
"Bhutan";"BTN";"AFG"
"China";"CHN";"AFG"
"Bangladesh";"BGD";"AFG"
"Nepal";"NPL";"AFG"
"Myanmar";"MMR";"AGO"
"Pakistan";"PAK";"AGO"
"Bhutan";"BTN";"AGO"
"China";"CHN";"AGO"
"Bangladesh";"BGD";"AGO"
"Nepal";"NPL";"AGO"
"Myanmar";"MMR";"ALB"
"Pakistan";"PAK";"ALB"
"Bhutan";"BTN";"ALB"
"China";"CHN";"ALB"
"Bangladesh";"BGD";"ALB"
"Nepal";"NPL";"ALB"
"Myanmar";"MMR";"AND"
"Pakistan";"PAK";"AND"
"Bhutan";"BTN";"AND"
"China";"CHN";"AND"
"Bangladesh";"BGD";"AND"
"Nepal";"NPL";"AND"
"Myanmar";"MMR";"ARE"
"Pakistan";"PAK";"ARE"
"Bhutan";"BTN";"ARE"
"China";"CHN";"ARE"
"Bangladesh";"BGD";"ARE"
"Nepal";"NPL";"ARE"
"Myanmar";"MMR";"ARG"
"Pakistan";"PAK";"ARG"
"Bhutan";"BTN";"ARG"
"China";"CHN";"ARG"
"Bangladesh";"BGD";"ARG"
"Nepal";"NPL";"ARG"
"Myanmar";"MMR";"ARM"
"Pakistan";"PAK";"ARM"
"Bhutan";"BTN";"ARM"
"China";"CHN";"ARM"
"Bangladesh";"BGD";"ARM"
"Nepal";"NPL";"ARM"
"Myanmar";"MMR";"ATG"
"Pakistan";"PAK";"ATG"
"Bhutan";"BTN";"ATG"
"China";"CHN";"ATG"
"Bangladesh";"BGD";"ATG"
"Nepal";"NPL";"ATG"
"Myanmar";"MMR";"AUS"
"Pakistan";"PAK";"AUS"
"Bhutan";"BTN";"AUS"
"China";"CHN";"AUS"
"Bangladesh";"BGD";"AUS"
"Nepal";"NPL";"AUS"
"Myanmar";"MMR";"AUT"
"Pakistan";"PAK";"AUT"
"Bhutan";"BTN";"AUT"
"China";"CHN";"AUT"
"Bangladesh";"BGD";"AUT"
"Nepal";"NPL";"AUT"
"Myanmar";"MMR";"AZE"
"Pakistan";"PAK";"AZE"
"Bhutan";"BTN";"AZE"
"China";"CHN";"AZE"
"Bangladesh";"BGD";"AZE"
"Nepal";"NPL";"AZE"
"Myanmar";"MMR";"BDI"
"Pakistan";"PAK";"BDI"
"Bhutan";"BTN";"BDI"
"China";"CHN";"BDI"
"Bangladesh";"BGD";"BDI"
"Nepal";"NPL";"BDI"
"Myanmar";"MMR";"BEL"
"Pakistan";"PAK";"BEL"
"Bhutan";"BTN";"BEL"
"China";"CHN";"BEL"
"Bangladesh";"BGD";"BEL"
"Nepal";"NPL";"BEL"
"Myanmar";"MMR";"BEN"
"Pakistan";"PAK";"BEN"
"Bhutan";"BTN";"BEN"
"China";"CHN";"BEN"
"Bangladesh";"BGD";"BEN"
"Nepal";"NPL";"BEN"
"Myanmar";"MMR";"BFA"
"Pakistan";"PAK";"BFA"
"Bhutan";"BTN";"BFA"
"China";"CHN";"BFA"
"Bangladesh";"BGD";"BFA"
"Nepal";"NPL";"BFA"
"Myanmar";"MMR";"BGD"
"Pakistan";"PAK";"BGD"
"Bhutan";"BTN";"BGD"
"China";"CHN";"BGD"
"Bangladesh";"BGD";"BGD"
"Nepal";"NPL";"BGD"
"Myanmar";"MMR";"BGR"
"Pakistan";"PAK";"BGR"
"Bhutan";"BTN";"BGR"
"China";"CHN";"BGR"
"Bangladesh";"BGD";"BGR"
"Nepal";"NPL";"BGR"
"Myanmar";"MMR";"BHR"
"Pakistan";"PAK";"BHR"
"Bhutan";"BTN";"BHR"
"China";"CHN";"BHR"
"Bangladesh";"BGD";"BHR"
"Nepal";"NPL";"BHR"
"Myanmar";"MMR";"BHS"
"Pakistan";"PAK";"BHS"
"Bhutan";"BTN";"BHS"
"China";"CHN";"BHS"
"Bangladesh";"BGD";"BHS"
"Nepal";"NPL";"BHS"
"Myanmar";"MMR";"BIH"
"Pakistan";"PAK";"BIH"
"Bhutan";"BTN";"BIH"
"China";"CHN";"BIH"
"Bangladesh";"BGD";"BIH"
"Nepal";"NPL";"BIH"
"Myanmar";"MMR";"BLR"
"Pakistan";"PAK";"BLR"
"Bhutan";"BTN";"BLR"
"China";"CHN";"BLR"
"Bangladesh";"BGD";"BLR"
"Nepal";"NPL";"BLR"
"Myanmar";"MMR";"BLZ"
"Pakistan";"PAK";"BLZ"
"Bhutan";"BTN";"BLZ"
"China";"CHN";"BLZ"
"Bangladesh";"BGD";"BLZ"
"Nepal";"NPL";"BLZ"
"Myanmar";"MMR";"BOL"
"Pakistan";"PAK";"BOL"
"Bhutan";"BTN";"BOL"
"China";"CHN";"BOL"
"Bangladesh";"BGD";"BOL"
"Nepal";"NPL";"BOL"
"Myanmar";"MMR";"BRA"
"Pakistan";"PAK";"BRA"
"Bhutan";"BTN";"BRA"
"China";"CHN";"BRA"
"Bangladesh";"BGD";"BRA"
"Nepal";"NPL";"BRA"
"Myanmar";"MMR";"BRB"
"Pakistan";"PAK";"BRB"
"Bhutan";"BTN";"BRB"
"China";"CHN";"BRB"
"Bangladesh";"BGD";"BRB"
"Nepal";"NPL";"BRB"
"Myanmar";"MMR";"BRN"
"Pakistan";"PAK";"BRN"
"Bhutan";"BTN";"BRN"
"China";"CHN";"BRN"
"Bangladesh";"BGD";"BRN"
"Nepal";"NPL";"BRN"
"Myanmar";"MMR";"BTN"
"Pakistan";"PAK";"BTN"
"Bhutan";"BTN";"BTN"
"China";"CHN";"BTN"
"Bangladesh";"BGD";"BTN"
"Nepal";"NPL";"BTN"
"Myanmar";"MMR";"BWA"
"Pakistan";"PAK";"BWA"
"Bhutan";"BTN";"BWA"
"China";"CHN";"BWA"
"Bangladesh";"BGD";"BWA"
"Nepal";"NPL";"BWA"
"Myanmar";"MMR";"CAF"
"Pakistan";"PAK";"CAF"
"Bhutan";"BTN";"CAF"
"China";"CHN";"CAF"
"Bangladesh";"BGD";"CAF"
"Nepal";"NPL";"CAF"
"Myanmar";"MMR";"CHE"
"Pakistan";"PAK";"CHE"
"Bhutan";"BTN";"CHE"
"China";"CHN";"CHE"
"Bangladesh";"BGD";"CHE"
"Nepal";"NPL";"CHE"
"Myanmar";"MMR";"CHL"
"Pakistan";"PAK";"CHL"
"Bhutan";"BTN";"CHL"
"China";"CHN";"CHL"
"Bangladesh";"BGD";"CHL"
"Nepal";"NPL";"CHL"
"Myanmar";"MMR";"CHN"
"Pakistan";"PAK";"CHN"
"Bhutan";"BTN";"CHN"
"China";"CHN";"CHN"
"Bangladesh";"BGD";"CHN"
"Nepal";"NPL";"CHN"
"Myanmar";"MMR";"CIV"
"Pakistan";"PAK";"CIV"
"Bhutan";"BTN";"CIV"
"China";"CHN";"CIV"
"Bangladesh";"BGD";"CIV"
"Nepal";"NPL";"CIV"
"Myanmar";"MMR";"CMR"
"Pakistan";"PAK";"CMR"
"Bhutan";"BTN";"CMR"
"China";"CHN";"CMR"
"Bangladesh";"BGD";"CMR"
"Nepal";"NPL";"CMR"
"Myanmar";"MMR";"COD"
"Pakistan";"PAK";"COD"
"Bhutan";"BTN";"COD"
"China";"CHN";"COD"
"Bangladesh";"BGD";"COD"
"Nepal";"NPL";"COD"
"Myanmar";"MMR";"COG"
"Pakistan";"PAK";"COG"
"Bhutan";"BTN";"COG"
"China";"CHN";"COG"
"Bangladesh";"BGD";"COG"
"Nepal";"NPL";"COG"
"Myanmar";"MMR";"COK"
"Pakistan";"PAK";"COK"
"Bhutan";"BTN";"COK"
"China";"CHN";"COK"
"Bangladesh";"BGD";"COK"
"Nepal";"NPL";"COK"
"Myanmar";"MMR";"COL"
"Pakistan";"PAK";"COL"
"Bhutan";"BTN";"COL"
"China";"CHN";"COL"
"Bangladesh";"BGD";"COL"
"Nepal";"NPL";"COL"
"Myanmar";"MMR";"COM"
"Pakistan";"PAK";"COM"
"Bhutan";"BTN";"COM"
"China";"CHN";"COM"
"Bangladesh";"BGD";"COM"
"Nepal";"NPL";"COM"
"Myanmar";"MMR";"CPV"
"Pakistan";"PAK";"CPV"
"Bhutan";"BTN";"CPV"
"China";"CHN";"CPV"
"Bangladesh";"BGD";"CPV"
"Nepal";"NPL";"CPV"
"Myanmar";"MMR";"CRI"
"Pakistan";"PAK";"CRI"
"Bhutan";"BTN";"CRI"
"China";"CHN";"CRI"
"Bangladesh";"BGD";"CRI"
"Nepal";"NPL";"CRI"
"Myanmar";"MMR";"CUB"
"Pakistan";"PAK";"CUB"
"Bhutan";"BTN";"CUB"
"China";"CHN";"CUB"
"Bangladesh";"BGD";"CUB"
"Nepal";"NPL";"CUB"
"Myanmar";"MMR";"CYP"
"Pakistan";"PAK";"CYP"
"Bhutan";"BTN";"CYP"
"China";"CHN";"CYP"
"Bangladesh";"BGD";"CYP"
"Nepal";"NPL";"CYP"
"Myanmar";"MMR";"CZE"
"Pakistan";"PAK";"CZE"
"Bhutan";"BTN";"CZE"
"China";"CHN";"CZE"
"Bangladesh";"BGD";"CZE"
"Nepal";"NPL";"CZE"
"Myanmar";"MMR";"DEU"
"Pakistan";"PAK";"DEU"
"Bhutan";"BTN";"DEU"
"China";"CHN";"DEU"
"Bangladesh";"BGD";"DEU"
"Nepal";"NPL";"DEU"
"Myanmar";"MMR";"DJI"
"Pakistan";"PAK";"DJI"
"Bhutan";"BTN";"DJI"
"China";"CHN";"DJI"
"Bangladesh";"BGD";"DJI"
"Nepal";"NPL";"DJI"
"Myanmar";"MMR";"DMA"
"Pakistan";"PAK";"DMA"
"Bhutan";"BTN";"DMA"
"China";"CHN";"DMA"
"Bangladesh";"BGD";"DMA"
"Nepal";"NPL";"DMA"
"Myanmar";"MMR";"DNK"
"Pakistan";"PAK";"DNK"
"Bhutan";"BTN";"DNK"
"China";"CHN";"DNK"
"Bangladesh";"BGD";"DNK"
"Nepal";"NPL";"DNK"
"Myanmar";"MMR";"DOM"
"Pakistan";"PAK";"DOM"
"Bhutan";"BTN";"DOM"
"China";"CHN";"DOM"
"Bangladesh";"BGD";"DOM"
"Nepal";"NPL";"DOM"
"Myanmar";"MMR";"DZA"
"Pakistan";"PAK";"DZA"
"Bhutan";"BTN";"DZA"
"China";"CHN";"DZA"
