"AFG";"IRN#TJK#CHN#TKM#UZB#PAK";"Iran (Islamic Republic of)#Tajikistan#China#Turkmenistan#Uzbekistan#Pakistan"
"AGO";"COG#COD#ZMB#NAM";"Congo#Democratic Republic of the Congo#Zambia#Namibia"
"ALB";"SRB#GRC#MNE#MKD";"Serbia#Greece#Montenegro#The former Yugoslav Republic of Macedonia"
"AND";"ESP#FRA";"Spain#France"
"ARE";"OMN#SAU";"Oman#Saudi Arabia"
"ARG";"URY#BRA#PRY#BOL#CHL";"Uruguay#Brazil#Paraguay#Bolivia (Plurinational State of)#Chile"
"ARM";"TUR#GEO#IRN#AZE";"Turkey#Georgia#Iran (Islamic Republic of)#Azerbaijan"
"AUT";"SVK#LIE#HUN#CZE#DEU#SVN#CHE#ITA";"Slovakia#Liechtenstein#Hungary#Czech Republic#Germany#Slovenia#Switzerland#Italy"
"AZE";"TUR#ARM#GEO#RUS#IRN";"Turkey#Armenia#Georgia#Russian Federation#Iran (Islamic Republic of)"
"BDI";"RWA#TZA#COD";"Rwanda#United Republic of Tanzania#Democratic Republic of the Congo"
"BEL";"FRA#LUX#NLD#DEU";"France#Luxembourg#Netherlands#Germany"
"BEN";"NGA#BFA#TGO#NER";"Nigeria#Burkina Faso#Togo#Niger"
"BFA";"GHA#NER#MLI#BEN#CIV#TGO";"Ghana#Niger#Mali#Benin#C̫te d'Ivoire#Togo"
"BGD";"MMR#IND";"Myanmar#India"
"BGR";"MKD#TUR#ROU#GRC#SRB";"The former Yugoslav Republic of Macedonia#Turkey#Romania#Greece#Serbia"
"BIH";"SRB#HRV#MNE";"Serbia#Croatia#Montenegro"
"BLR";"POL#LTU#UKR#RUS#LVA";"Poland#Lithuania#Ukraine#Russian Federation#Latvia"
"BLZ";"GTM#MEX";"Guatemala#Mexico"
"BOL";"PER#ARG#PRY#BRA#CHL";"Peru#Argentina#Paraguay#Brazil#Chile"
"BRA";"VEN#GUY#BOL#URY#ARG#PER#SUR#PRY#COL";"Venezuela (Bolivarian Republic of)#Guyana#Bolivia (Plurinational State of)#Uruguay#Argentina#Peru#Suriname#Paraguay#Colombia"
"BRN";"MYS";"Malaysia"
"BTN";"IND#CHN";"India#China"
"BWA";"NAM#ZWE#ZAF";"Namibia#Zimbabwe#South Africa"
"CAF";"SDN#COG#COD#TCD#SSD#CMR";"Sudan#Congo#Democratic Republic of the Congo#Chad#South Sudan #Cameroon"
"CAN";"USA";"United States of America"
"CHE";"AUT#FRA#ITA#LIE#DEU";"Austria#France#Italy#Liechtenstein#Germany"
"CHL";"ARG#BOL#PER";"Argentina#Bolivia (Plurinational State of)#Peru"
"CHN";"IND#TJK#RUS#AFG#NPL#PAK#MNG#KGZ#MMR#LAO#KAZ#VNM#PRK#BTN";"India#Tajikistan#Russian Federation#Afghanistan#Nepal#Pakistan#Mongolia#Kyrgyzstan#Myanmar#Lao People's Democratic Republic#Kazakhstan#Viet Nam#Democratic People's Republic of Korea#Bhutan"
"CIV";"MLI#LBR#BFA#GHA#GIN";"Mali#Liberia#Burkina Faso#Ghana#Guinea"
"CMR";"CAF#TCD#GNQ#NGA#COG#GAB";"Central African Republic#Chad#Equatorial Guinea#Nigeria#Congo#Gabon"
"COD";"RWA#AGO#ZMB#CAF#COG#TZA#SSD#BDI#UGA";"Rwanda#Angola#Zambia#Central African Republic#Congo#United Republic of Tanzania#South Sudan #Burundi#Uganda"
"COG";"COD#GAB#CMR#AGO#CAF";"Democratic Republic of the Congo#Gabon#Cameroon#Angola#Central African Republic"
"COL";"PER#VEN#BRA#PAN#ECU";"Peru#Venezuela (Bolivarian Republic of)#Brazil#Panama#Ecuador"
"CRI";"NIC#PAN";"Nicaragua#Panama"
"CZE";"POL#DEU#AUT#SVK";"Poland#Germany#Austria#Slovakia"
"DEU";"POL#BEL#LUX#FRA#CHE#AUT#DNK#NLD#CZE";"Poland#Belgium#Luxembourg#France#Switzerland#Austria#Denmark#Netherlands#Czech Republic"
"DJI";"ETH#ERI#SOM";"Ethiopia#Eritrea#Somalia"
"DNK";"DEU";"Germany"
"DOM";"HTI";"Haiti"
"DZA";"MAR#MRT#MLI#NER#LBY#TUN";"Morocco#Mauritania#Mali#Niger#Libyan Arab Jamahiriya#Tunisia"
"ECU";"COL#PER";"Colombia#Peru"
"EGY";"SDN#LBY#ISR";"Sudan#Libyan Arab Jamahiriya#Israel"
"ERI";"DJI#ETH#SDN";"Djibouti#Ethiopia#Sudan"
"ESP";"FRA#MAR#PRT#AND";"France#Morocco#Portugal#Andorra"
"EST";"RUS#LVA";"Russian Federation#Latvia"
"ETH";"DJI#SOM#KEN#SDN#SSD#ERI";"Djibouti#Somalia#Kenya#Sudan#South Sudan #Eritrea"
"FIN";"SWE#RUS#NOR";"Sweden#Russian Federation#Norway"
"FRA";"ESP#MCO#DEU#AND#LUX#CHE#ITA#BEL";"Spain#Monaco#Germany#Andorra#Luxembourg#Switzerland#Italy#Belgium"
"GAB";"CMR#GNQ#COG";"Cameroon#Equatorial Guinea#Congo"
"GBR";"IRL";"Ireland"
"GEO";"RUS#TUR#AZE#ARM";"Russian Federation#Turkey#Azerbaijan#Armenia"
"GHA";"TGO#CIV#BFA";"Togo#C̫te d'Ivoire#Burkina Faso"
"GIN";"LBR#SEN#CIV#SLE#GNB#MLI";"Liberia#Senegal#C̫te d'Ivoire#Sierra Leone#Guinea-Bissau#Mali"
"GMB";"SEN";"Senegal"
"GNB";"SEN#GIN";"Senegal#Guinea"
"GNQ";"GAB#CMR";"Gabon#Cameroon"
"GRC";"TUR#MKD#ALB#BGR";"Turkey#The former Yugoslav Republic of Macedonia#Albania#Bulgaria"
"GTM";"HND#BLZ#SLV#MEX";"Honduras#Belize#El Salvador#Mexico"
"GUY";"BRA#VEN#SUR";"Brazil#Venezuela (Bolivarian Republic of)#Suriname"
"HND";"NIC#GTM#SLV";"Nicaragua#Guatemala#El Salvador"
"HRV";"MNE#SVN#SRB#BIH#HUN";"Montenegro#Slovenia#Serbia#Bosnia and Herzegovina#Hungary"
"HTI";"DOM";"Dominican Republic"
"HUN";"AUT#SRB#HRV#ROU#SVN#SVK#UKR";"Austria#Serbia#Croatia#Romania#Slovenia#Slovakia#Ukraine"
"IDN";"TLS#PNG#MYS";"Timor-Leste#Papua New Guinea#Malaysia"
